service_request_id,requested_datetime,updated_datetime,e,n,service_code,status,detail,year_requested,month_requested,processing_time_days
1,2013-03-14 15:16:15,2013-04-12 07:59:30,2678968,1247548,Strasse/Trottoir/Platz,fixed - council,"Auf dem Asphalt des Bürgersteigs hat es eine Erhebung, die man wirklich nicht sieht und immer wieder drüber stolpert.",2013,3,28.69670138888889
2,2013-03-14 15:17:57,2013-04-12 08:00:22,2680746,1249916,Strasse/Trottoir/Platz,fixed - council,Vermessungspunkt ist nicht mehr bündig mit dem Boden und steht vor.,2013,3,28.696122685185184
4,2013-03-15 09:14:16,2013-04-12 08:08:10,2684605,1251431,Strasse/Trottoir/Platz,fixed - council,Beim Trottoir sind einige Randsteine defekt und der Belag ist abgesunken. Im Winter bleibt Wasser liegen.,2013,3,27.954097222222224
5,2013-03-15 09:17:15,2013-04-12 08:09:05,2681754,1250376,Strasse/Trottoir/Platz,fixed - council,Auf dem Parkplatz beim Waidspital sind einige Löcher im Belag,2013,3,27.952662037037037
6,2013-03-15 10:36:53,2013-04-23 13:50:33,2683094,1247762,Abfall/Sammelstelle,fixed - council,Arbeitskiste ist rund herum verschmiert,2013,3,39.13449074074074
7,2013-03-16 17:54:42,2013-04-12 08:09:44,2683475,1247422,Strasse/Trottoir/Platz,fixed - council,Gelockerte und fehlende Pflastersteine auf der Höhe Marktgasse 23.,2013,3,26.59377314814815
8,2013-03-16 18:04:21,2013-05-06 17:29:11,2683303,1247675,Strasse/Trottoir/Platz,fixed - council,"Steinerne Ballustrade bei der Uraniawache, Bahnhofquai, verschoben.",2013,3,50.975578703703704
9,2013-03-18 07:06:53,2013-04-12 08:18:43,2678769,1248921,Strasse/Trottoir/Platz,fixed - council,"Feldblumenstrasse 30, Schlagloch",2013,3,25.049884259259258
10,2013-03-18 07:16:54,2013-04-12 08:19:25,2678479,1248732,Strasse/Trottoir/Platz,fixed - council,Rautistrasse / Friedhofstrasse: Schlagloch im Fussgägerstreifen,2013,3,25.04341435185185
11,2013-03-20 07:20:37,2013-04-12 08:11:54,2682529,1251346,Strasse/Trottoir/Platz,fixed - council,Neben dem Schacht sind ca. 2 m Wassersteine abgesunken.,2013,3,23.035613425925927
12,2013-03-20 07:25:42,2013-04-12 08:19:40,2682875,1250882,Strasse/Trottoir/Platz,fixed - council,Deckel von Strassensammler ist abgesunken.,2013,3,23.037476851851853
13,2013-03-20 10:49:18,2013-04-12 10:15:08,2681805,1250364,Strasse/Trottoir/Platz,fixed - council,Im Trottoir ist der Belag sehr schlecht.,2013,3,22.97627314814815
14,2013-03-21 08:38:59,2013-04-12 08:23:42,2685773,1246278,Strasse/Trottoir/Platz,fixed - council,Strassenbennungstafel ist krumm,2013,3,21.989386574074075
15,2013-03-21 08:49:37,2013-04-12 08:24:44,2686037,1246262,Strasse/Trottoir/Platz,fixed - council,3 Stück Löcher in der Fahrbahn von Nr. 17 bis Kehrplatz,2013,3,21.982719907407407
16,2013-03-21 09:06:05,2013-04-12 08:25:31,2684556,1245435,Strasse/Trottoir/Platz,fixed - council,Im Kreuzungsbereich zw. dem Tramgleis Deckbelag beschädigt inkl. beim KS,2013,3,21.971828703703704
18,2013-03-22 15:40:35,2013-04-12 08:27:01,2684101,1252104,Strasse/Trottoir/Platz,fixed - council,Rentner hat 2 Pfosten angefahren Einfahrt Parkhaus Messe Hagenholzstrasse,2013,3,20.698912037037037
19,2013-03-22 15:46:05,2013-04-24 16:24:12,2683943,1251032,Strasse/Trottoir/Platz,fixed - council,Verkehrsspiegel durch Vandalen geschlissen !,2013,3,33.02646990740741
20,2013-03-24 14:41:39,2013-04-12 08:28:45,2685530,1248499,Strasse/Trottoir/Platz,fixed - council,Verkehrssignal Fussgängerstreifen nicht mehr erkennbar (Orellistrasse Richtung Dreiwiesenstrasse). Evtl. könnte auf das Schild ganz verzichtet werden. Die Orellistrasse ist schwach befahren und der Fussgängerstreifen von weitem gut sichtbar.,2013,3,18.741041666666668
21,2013-03-26 14:20:19,2013-04-12 08:43:56,2684561,1251101,Strasse/Trottoir/Platz,fixed - council,Bei Schachtdeckel ist der Belag ausgebrochen,2013,3,16.766400462962963
22,2013-03-27 10:34:48,2013-04-12 08:43:27,2683538,1247650,Strasse/Trottoir/Platz,fixed - council,Pfosten in Rabatte umgefahren,2013,3,15.922673611111112
23,2013-03-27 10:42:17,2013-04-12 08:44:52,2683080,1247279,Strasse/Trottoir/Platz,fixed - council,"Rampe abgesenkt, Wasserlache",2013,3,15.918460648148148
24,2013-03-28 08:22:13,2013-04-12 08:45:39,2681939,1249068,Strasse/Trottoir/Platz,fixed - council,Hier entsteht bei Regen eine grosse Wasserlache. Das Wasser kann nicht abfliessen.,2013,3,15.016273148148148
25,2013-03-28 11:09:45,2013-04-12 08:47:16,2679231,1249615,Strasse/Trottoir/Platz,fixed - council,Schacht sinkt ein,2013,3,14.90105324074074
26,2013-04-02 10:33:26,2013-04-04 14:10:06,2683661,1246433,Grünflächen/Spielplätze,fixed - council,Sitzbank defekt,2013,4,2.150462962962963
27,2013-04-03 08:06:05,2013-04-12 08:49:21,2681887,1246154,Strasse/Trottoir/Platz,fixed - council,Defekter Belagsflick in Strasse,2013,4,9.030046296296296
28,2013-04-03 08:11:47,2013-04-12 08:50:04,2679849,1246835,Strasse/Trottoir/Platz,fixed - council,Pfosten im Trottoir umgedrückt,2013,4,9.026585648148147
29,2013-04-03 08:13:57,2013-04-12 08:50:50,2679850,1246834,Strasse/Trottoir/Platz,fixed - council,Schlagloch in der Strasse beim Fussgängerstreifen,2013,4,9.025613425925926
30,2013-04-03 08:15:49,2013-04-12 08:51:21,2679767,1246559,Strasse/Trottoir/Platz,fixed - council,Belagsloch im Fussweg,2013,4,9.024675925925926
31,2013-04-03 12:08:40,2013-04-12 08:24:43,2682335,1247185,Strasse/Trottoir/Platz,fixed - council,Die Stange ist verbogen. 20 Meter daneben hat es nochmals einen gleichen Fall.,2013,4,8.844479166666666
32,2013-04-03 12:17:17,2013-04-12 08:23:58,2682021,1247538,Strasse/Trottoir/Platz,fixed - council,Pfosten umgefahren,2013,4,8.837974537037036
35,2013-04-04 07:13:23,2013-04-12 08:23:19,2680014,1247417,Strasse/Trottoir/Platz,fixed - council,Schachtdeckel eingebrochen,2013,4,8.048564814814815
36,2013-04-04 07:15:22,2013-04-12 13:13:58,2679978,1247427,Strasse/Trottoir/Platz,fixed - council,Schachtdeckel im Trottoir Stolpergefahr,2013,4,8.249027777777778
37,2013-04-04 13:21:06,2013-04-23 13:48:57,2681647,1244210,Abfall/Sammelstelle,fixed - council,Schmierereien und Graffiti an der Wand und am Brückenwiderlager,2013,4,19.01934027777778
39,2013-04-05 20:27:48,2013-04-16 07:13:06,2682354,1247029,Beleuchtung/Uhren,fixed - council,Die zwei Huber bei der FGU leuchten immer noch nicht,2013,4,10.448125
40,2013-04-08 16:31:24,2013-04-16 07:12:24,2681089,1249371,Beleuchtung/Uhren,fixed - council,Lampe defekt,2013,4,7.611805555555556
41,2013-04-09 09:40:23,2013-04-10 08:46:59,2683665,1249020,Grünflächen/Spielplätze,fixed - council,Schaukel fehlt auf dem Spielplatz Stolzewiese,2013,4,0.9629166666666666
42,2013-04-11 08:25:03,2013-04-19 16:25:05,2682525,1246697,Strasse/Trottoir/Platz,external,Parktafel ist verbogen,2013,4,8.33335648148148
43,2013-04-11 09:12:53,2013-04-12 08:07:27,2681920,1247615,Strasse/Trottoir/Platz,fixed - council,Der Strassenbelag der Badenerstrasse zwischen Langstrasse und Kalkbreite ist sanierungsbedürftig. Es hat unzählige Löcher im Belag. Das Befahren der Badenerstrasse mit dem Fahrrad ist gefährlich.,2013,4,0.9545601851851852
46,2013-04-11 18:42:54,2013-04-17 07:56:04,2683222,1247885,Strasse/Trottoir/Platz,fixed - council,"Ein Bügel des Veloparkplatzes umgeknickt, Fahrrad-Vandalismus",2013,4,5.550810185185185
50,2013-04-12 12:25:46,2013-04-18 16:55:39,2682761,1248928,Grünflächen/Spielplätze,fixed - council,Der Ball rollt ins Wasser da der Durchgang nicht mit einem Tor geschlossen werden kann.,2013,4,6.187418981481481
54,2013-04-16 11:06:24,2013-04-18 09:05:45,2685575,1246240,Grünflächen/Spielplätze,fixed - council,Grosser Ast runtergefallen,2013,4,1.9162152777777777
55,2013-04-16 12:26:11,2013-04-17 07:54:25,2682297,1247617,Strasse/Trottoir/Platz,fixed - council,"Grosses loch in der strasse, gefährlich für velos und töffs!",2013,4,0.8112731481481481
56,2013-04-16 12:52:11,2013-04-19 10:51:37,2683149,1250392,Strasse/Trottoir/Platz,fixed - council,Schlagloch.,2013,4,2.9162731481481483
57,2013-04-16 14:49:45,2013-04-23 13:48:00,2683318,1247969,Abfall/Sammelstelle,fixed - council,Dieses defekte Velo versperrt seit Monaten den Platz für funktionsfähige Velos.,2013,4,6.957118055555555
58,2013-04-16 15:12:21,2013-04-17 13:53:20,2683815,1246768,Strasse/Trottoir/Platz,fixed - council,Velowegweiser Route 66 Richtung HB ist um 90° verdreht,2013,4,0.9451273148148148
59,2013-04-16 15:21:07,2013-04-17 07:06:39,2681059,1247291,Beleuchtung/Uhren,fixed - council,Defekte Strassenlampen,2013,4,0.6566203703703704
60,2013-04-16 15:24:26,2013-04-17 08:26:32,2678776,1252711,Strasse/Trottoir/Platz,fixed - council,Diverse Schlaglöcher und Belagsschäden,2013,4,0.7097916666666667
61,2013-04-16 15:27:43,2013-04-22 11:10:44,2687990,1246280,Strasse/Trottoir/Platz,fixed - council,"Strassen und Abfluss in elendem Zustand, bei Hochwasser entsteht ein See...",2013,4,5.821539351851852
62,2013-04-16 15:47:01,2013-04-19 08:31:24,2683489,1252607,Strasse/Trottoir/Platz,fixed - council,Grössere Belagsschäden im Kopfsteinpflaster,2013,4,2.697488425925926
63,2013-04-16 15:57:04,2013-04-19 08:27:44,2686745,1247774,Strasse/Trottoir/Platz,fixed - council,"An mehreren Stellen im Umkreis von ca. 700m in beide Richtungen lose Pflastersteine v.a. am nördlichen Fahrbahnrand (teilweise auf der Fahrbahn), die v.a. nachts sehr gefährlich sein können.",2013,4,2.687962962962963
64,2013-04-16 16:11:34,2013-04-18 15:32:22,2683106,1247129,Strasse/Trottoir/Platz,fixed - council,Jemand hat die Bäume des Paradeplatzes entwendet.,2013,4,1.9727777777777777
65,2013-04-16 16:22:19,2013-04-17 08:23:28,2683038,1247904,Strasse/Trottoir/Platz,fixed - council,"Ecke Löwenstrasse / Schützengasse: Die Tafel «verbotene Fahrrichtung» ist um 90 Grad verkehrt montiert. Sie zeigt in Richtung Löwenstrasse statt in Richtung Schützengasse. Viele Motorfahrzeuglenkende fahren deshalb unbewusst verbotenerstrasse von der Löwenstrasse in die Schützengasse, die jedoch eine Einbahnstrasse ist.",2013,4,0.6674652777777778
68,2013-04-16 16:56:27,2013-04-16 20:30:40,2678367,1247513,Strasse/Trottoir/Platz,fixed - council,Diverse Risse und Schlaglöcher,2013,4,0.1487615740740741
69,2013-04-16 17:08:50,2013-04-17 11:39:23,2682748,1246813,Strasse/Trottoir/Platz,fixed - council,Schlagloch und kaputter Randstein,2013,4,0.7712152777777778
