quartier_name,Abfall/Sammelstelle,Allgemein,Beleuchtung/Uhren,Brunnen/Hydranten,Graffiti,Grünflächen/Spielplätze,Schädlinge,Signalisation/Lichtsignal,Strasse/Trottoir/Platz,VBZ/ÖV
Affoltern,779,109,246,30,133,308,40,374,327,73
Albisrieden,644,107,137,66,53,265,45,346,336,48
Alt-Wiedikon,1278,148,168,28,35,146,27,331,295,46
Altstetten,1400,254,242,131,177,331,79,776,592,110
City,437,139,109,31,96,95,4,374,381,74
Enge,695,268,202,41,234,253,19,548,412,84
Escher Wyss,360,52,96,18,88,142,8,340,394,63
Fluntern,393,72,119,45,67,160,21,179,171,27
Friesenberg,334,75,126,30,57,406,37,198,139,13
Gewerbeschule,829,169,128,35,107,198,16,359,365,24
Hard,1626,105,120,42,92,146,16,326,301,80
Hirslanden,474,83,196,21,41,156,15,203,150,41
Hirzenbach,306,48,88,8,15,93,18,123,119,36
Hochschulen,234,71,124,43,149,86,5,308,311,84
Hottingen,522,98,267,44,135,215,21,326,222,98
Höngg,903,146,321,57,106,504,88,434,454,77
Langstrasse,3859,215,267,43,276,221,20,587,607,90
Leimbach,262,29,37,21,24,124,8,52,65,10
Lindenhof,252,59,61,29,145,152,5,195,203,23
Mühlebach,389,52,94,11,42,54,4,137,112,13
Oberstrass,372,79,141,43,124,237,21,212,214,73
Oerlikon,836,188,250,73,111,296,47,581,502,100
Rathaus,482,95,66,21,285,86,6,125,266,25
Saatlen,212,66,57,11,23,98,8,116,72,13
Schwamendingen-Mitte,399,86,94,22,14,142,8,211,201,56
Seebach,1074,113,218,35,178,278,24,351,275,74
Seefeld,508,63,72,15,42,237,9,170,140,24
Sihlfeld,3146,204,245,63,158,358,34,544,420,61
Unterstrass,1118,180,344,49,216,339,37,641,538,132
Weinegg,254,49,92,28,23,80,12,150,76,44
Werd,927,36,79,17,39,40,7,156,187,41
Wipkingen,908,224,230,60,274,390,65,620,488,45
Witikon,261,51,162,18,42,229,26,168,147,28
Wollishofen,866,231,209,58,158,369,95,411,386,51
