,detail
4,Arbeitskiste ist rund herum verschmiert
32,Schmierereien und Graffiti an der Wand und am Brückenwiderlager
43,Dieses defekte Velo versperrt seit Monaten den Platz für funktionsfähige Velos.
56,Defektes Velo seit Monaten dort.
68,"Bitte Abfallsäcke aufräumen. Die Bewohner konnten über das Wochenende die Metallsachen nicht entsorgen, da der Container überfüllt war."
70,Ilegalle deponie Überlandstrasse 215 beim Brunnen
71,Illegale Entsorgung
109,Grill am Straßenrand entsorgt.
111,"Graffiti bei Treppe zum Grossmünster, neben Haus zum Loch."
126,Die Unterführung Bucheggstrasse ist schmutzig und wurde augenscheinlich lange nicht mehr Gründlich gereinigt
127,Die Wände auf der Bergseite an der Bucheggstrasse Sind auf einer Länge von ca 100m verschmiert.
143,"Wiederkehrende Mülldeponie Fellenbergstrasse, vor Einfahrt Langgrütstrasse"
150,Beim Gehweg sind an der Wand in der Länge von ca. 20 Metern diverse Graffitis der Kurve entlang (z.T. unter den herabhängenden Hecken). Sind jedoch z.T. verblasst. Auch nach der Kurve hat es teilweise verdeckt hinter einer Hecke eine Türe (vermutlich ein Raum mit Strom oder ähnlichem) welche ebenfalls verschmiert ist.
155,Strasse verschmiert
165,Kübel kaputt.
175,Dauernd (wöchentlich) wird hier Abfall deponiert. Auch vis a vis steht ein Schrank (gratis mitnehmen.
182,Mehrere illegal entsorgte Matratzen
200,Kartonberge auf der Neunbrunnenstrasse
205,Wände verschmiert
212,Tag bei der Tramhaltestelle Schwert an der Mauer
213,Abfall
215,Der Bach ist an dieser Stelle teilweise über resp. durch das Ufer auf den Weg getreten.
217,Müllabfuhr war hier hat aber nur den container geleert und denn müll daneben liegen lassen!!! Wenn sie schon kommen kann man doch alles mitnehmen? Verlohrene arbeitszeit!!
221,"Haltestelle Signaustrasse, stadtauswärts: Abfallkübel seit über einer Woche defekt."
236,Der Abfalleimer an dieser Stelle fällt regelmässig aus der Halterung.
249,"Abfall, Dreck und Gerümpel der seit Tagen entlang des Fussgängerweg bei den Bahnunterführungen herumliegt. Sehr widerlich und einladend für weitere Entsorgungssünder."
254,"Illegal Müll entsorgt: Staubsauger, Karton"
259,Illegale Entsorgung - defekter Stuhl
262,Müll entsorgt. Übervolle Behälter
268,Illegal entsorgter Müll
270,Zigistummel liegt auf asphalt
281,Dort steht schon seit dem Winter eine alte Autobatterie
284,Wiederrechtlich abgelegter Bauabfall
293,"Bahnhof Oerlikon, Treppe Ende Gleis 3, Richtung andreasstrasse: Müll auf Dach und zwischenböden"
295,Illegale Entsorgung
301,An der Scheffelstrasse steht auf einem Stein seit ca. zwei Wochen ein alter Drucker. Dies auf der rechten Seite (bergwärts). Ist wohl eine illegale Entsorgung.
302,Scherben auf Velospur
316,Vor dem Haus an der Adresse In der Ey 34 stapelt sich seit mehr als einem Monat Sperrgutabfall auf dem Troittoir (u.a. rotes Sofa). Das Haus ist unbewohnt. Wann kommt dieser Abfall endlich weg?
317,"Der Velohändler stapelt Altkarton in der bepflanzten Rabatte, das ist unschön an der sonst schon hässlichen Gegend."
344,Sperrgut
353,Viele verlassenen Fahräder
355,"An der Herrligstrasse 35 liegt seit 8 Tagen ein rotes Hundesäckli voll mit Dreck, obwohl ERZ-Fahrzeuge ein paar mal vorbeigefahren ist, wird es nicht entsorgt und dass stört mich."
360,Treppenaufgang Hüttisstrasse/Binzmühlestrasse ist immer voller Abfall und Glasscherben... ein toter Vogel lag drei Wochen lang da.
364,Hier liegt seit Monaten eine Matratze.
367,Illegale Entsorgung bei Tramhaltestelle Schörlistrasse. Mehrere Säcke voll PET-Flaschen.
393,Illegal entsorgter abfall
412,Versprayte Abfallcontainer
422,"Abfallcontainer seit circa 2 Monate fehlt, nur der Halter ist geblieben. Da Jugendliche sich hier an der Seite des Starbucks ansammeln, viel Abfall bleibt unversorgt zurück."
436,Illegal entsorgtes Kühlgerät.
451,Toilette verschmutzt und verstopft
460,Sauerei auf der Strasse nach Müllabfuhr.
465,Defekter Abfalleimer
