quartier_name,0
Langstrasse,6185
Sihlfeld,5233
Altstetten,4092
Unterstrass,3594
Wipkingen,3304
Höngg,3090
Oerlikon,2984
Hard,2854
Wollishofen,2834
Enge,2756
Seebach,2620
Alt-Wiedikon,2502
Affoltern,2419
Gewerbeschule,2230
Albisrieden,2047
Hottingen,1948
City,1740
Escher Wyss,1561
Werd,1529
Oberstrass,1516
Rathaus,1457
Hochschulen,1415
Friesenberg,1415
Hirslanden,1380
Seefeld,1280
Fluntern,1254
Schwamendingen-Mitte,1233
Witikon,1132
Lindenhof,1124
Mühlebach,908
Hirzenbach,854
Weinegg,808
Saatlen,676
Leimbach,632
